Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
513987,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,12.0,2010-06-30 08:30:00,3.75,12415.0,Australia
499004,22094,RED POLKA DOT TISSUE BOX,12.0,2010-02-24 11:55:00,1.25,12998.0,United Kingdom
518687,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,6.0,2010-08-11 10:16:00,2.1,15837.0,United Kingdom
512755,22437,SET OF 9 BLACK SKULL BALLOONS,20.0,2010-06-17 15:34:00,0.85,13115.0,United Kingdom
496348,21709,FOLDING UMBRELLA  CHOC/WHITE  SPOT,2.0,2010-01-31 16:02:00,4.95,15022.0,United Kingdom
512736,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.0,2010-06-17 14:04:00,5.95,16554.0,United Kingdom
511030,22219,LOVEBIRD HANGING DECORATION WHITE ,6.0,2010-06-06 10:39:00,0.85,15046.0,United Kingdom
512131,22393,PAPERWEIGHT VINTAGE COLLAGE,6.0,2010-06-14 10:44:00,2.55,16622.0,United Kingdom
515313,21272,SALLE DE BAIN HOOK,2.0,2010-07-11 10:28:00,1.25,15164.0,United Kingdom
512808,37476,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,1.0,2010-06-18 11:23:00,9.95,16155.0,United Kingdom
495369,22286,"DECORATION , WOBBLY RABBIT , METAL ",6.0,2010-01-24 12:31:00,1.65,13527.0,United Kingdom
513953,22184,CAKE STAND VICTORIAN FILIGREE LARGE,2.0,2010-06-29 14:14:00,8.5,14426.0,United Kingdom
514108,22026,BANQUET BIRTHDAY  CARD  ,24.0,2010-06-30 12:47:00,0.42,13756.0,United Kingdom
C515981,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2.0,2010-07-16 08:13:00,6.35,13050.0,United Kingdom
496093,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8.0,2010-01-29 10:10:00,2.95,12949.0,United Kingdom
502925,79323S,SILVER CHERRY LIGHTS,1.0,2010-03-29 14:19:00,6.75,17841.0,United Kingdom
490464,37343,SPOTS DESIGN MUG W PINK INSIDE,6.0,2009-12-06 12:10:00,1.65,15571.0,United Kingdom
504810,84880,WHITE WIRE EGG HOLDER,3.0,2010-04-16 12:43:00,5.95,15628.0,United Kingdom
510737,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12.0,2010-06-03 11:44:00,1.25,16279.0,United Kingdom
490957,22125,UNION JACK HOT WATER BOTTLE ,6.0,2009-12-08 15:12:00,5.95,15823.0,United Kingdom
505349,84991,60 TEATIME FAIRY CAKE CASES,1.0,2010-04-21 14:05:00,0.55,15580.0,United Kingdom
507235,84952A,CLEAR LOVE BIRD T-LIGHT HOLDER,24.0,2010-05-07 09:04:00,0.85,14298.0,United Kingdom
514563,21931,JUMBO STORAGE BAG SUKI,10.0,2010-07-05 11:48:00,1.95,15039.0,United Kingdom
518533,21363,HOME SMALL WOOD LETTERS,2.0,2010-08-09 16:22:00,4.95,14527.0,United Kingdom
513943,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16.0,2010-06-29 13:13:00,0.65,14040.0,United Kingdom
492075,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,5.0,2009-12-15 13:21:00,2.1,17596.0,United Kingdom
492360,21833,CAMOUFLAGE LED TORCH,12.0,2009-12-16 13:23:00,1.69,14625.0,United Kingdom
497923,21328,BALLOONS  WRITING SET ,12.0,2010-02-14 15:51:00,1.65,18179.0,United Kingdom
506956,84270,ASSTD DESIGN BUBBLE GUM RING,30.0,2010-05-05 11:51:00,0.21,16415.0,United Kingdom
C491602,22138,BAKING SET 9 PIECE RETROSPOT ,-2.0,2009-12-11 13:31:00,4.95,17645.0,United Kingdom
508551,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,2.0,2010-05-17 11:46:00,1.45,15039.0,United Kingdom
502624,22219,LOVEBIRD HANGING DECORATION WHITE ,6.0,2010-03-25 15:17:00,0.85,16794.0,United Kingdom
506003,21175,GIN + TONIC DIET METAL SIGN,48.0,2010-04-27 11:15:00,1.85,16652.0,United Kingdom
503692,84791,GINGHAM HEART DECORATION,6.0,2010-04-06 12:43:00,2.95,13939.0,United Kingdom
C519482,15034,PAPER POCKET TRAVELING FAN ,-48.0,2010-08-17 13:06:00,0.14,13081.0,United Kingdom
513635,15036,ASSORTED COLOURS SILK FAN,24.0,2010-06-27 13:40:00,0.75,16701.0,United Kingdom
504640,22539,MINI JIGSAW DOLLY GIRL,10.0,2010-04-15 14:14:00,0.42,17032.0,United Kingdom
518783,22567,20 DOLLY PEGS RETROSPOT,2.0,2010-08-11 16:44:00,1.25,16033.0,United Kingdom
502419,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1.0,2010-03-24 12:15:00,0.55,16300.0,United Kingdom
504902,22358,KINGS CHOICE TEA CADDY ,4.0,2010-04-18 15:35:00,2.95,13286.0,United Kingdom
496642,20971,PINK BLUE FELT CRAFT TRINKET BOX,12.0,2010-02-03 11:50:00,1.25,15091.0,United Kingdom
501767,22465,HANGING METAL STAR LANTERN,6.0,2010-03-19 11:39:00,1.65,16335.0,United Kingdom
514107,84596F,SMALL MARSHMALLOWS PINK BOWL,1.0,2010-06-30 12:40:00,1.25,14606.0,United Kingdom
502444,22288,"DECORATION , HANGING METAL RABBIT",1.0,2010-03-24 13:30:00,1.25,14729.0,United Kingdom
510984,22617,BAKING SET SPACEBOY DESIGN,3.0,2010-06-04 12:32:00,4.95,13995.0,United Kingdom
505969,21497,FANCY FONTS BIRTHDAY WRAP,25.0,2010-04-26 16:36:00,0.42,17231.0,United Kingdom
511691,48129,DOOR MAT TOPIARY,2.0,2010-06-09 16:42:00,7.49,16525.0,United Kingdom
514510,21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,3.0,2010-07-04 13:27:00,2.95,14647.0,United Kingdom
501700,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1.0,2010-03-18 20:02:00,1.65,13230.0,United Kingdom
513182,20711,JUMBO BAG TOYS ,4.0,2010-06-22 12:57:00,1.95,18214.0,United Kingdom
491426,21162,TOXIC AREA  DOOR HANGER ,3.0,2009-12-10 20:16:00,1.45,15494.0,United Kingdom
510806,21982,PACK OF 12 SUKI TISSUES ,8.0,2010-06-03 19:05:00,0.29,17107.0,United Kingdom
508491,21330,WOODLAND ANIMAL  WRITING SET ,3.0,2010-05-16 13:22:00,1.65,16686.0,United Kingdom
512109,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48.0,2010-06-13 14:30:00,0.21,16710.0,United Kingdom
508382,48194,DOOR MAT HEARTS,3.0,2010-05-14 14:18:00,7.49,13634.0,United Kingdom
506456,21719,LOVELY BONBON STICKER SHEET,4.0,2010-04-29 19:08:00,0.85,15015.0,United Kingdom
497583,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12.0,2010-02-10 14:51:00,0.95,12951.0,United Kingdom
492015,21833,CAMOUFLAGE LED TORCH,48.0,2009-12-15 12:00:00,1.69,14911.0,EIRE
512286,22089,PAPER BUNTING VINTAGE PAISLEY,3.0,2010-06-14 14:27:00,2.95,15967.0,United Kingdom
500843,21668,RED STRIPE CERAMIC DRAWER KNOB,6.0,2010-03-10 12:13:00,1.25,17348.0,United Kingdom
505005,22507,MEMO BOARD RETROSPOT  DESIGN,4.0,2010-04-19 12:49:00,4.95,13939.0,United Kingdom
496321,21259,VICTORIAN SEWING BOX SMALL ,1.0,2010-01-31 12:43:00,5.95,16014.0,United Kingdom
517217,21034,REX CASH+CARRY JUMBO SHOPPER,1.0,2010-07-27 12:10:00,0.95,16393.0,United Kingdom
C504182,84946,ANTIQUE SILVER TEA GLASS ETCHED,-2.0,2010-04-12 08:59:00,1.25,16554.0,United Kingdom
499788,48188,DOOR MAT WELCOME PUPPIES,2.0,2010-03-02 14:57:00,7.49,16159.0,United Kingdom
494045,M,Manual,1.0,2010-01-11 12:01:00,435.88,12510.0,Spain
496530,84459B,YELLOW METAL CHICKEN HEART ,12.0,2010-02-02 12:47:00,1.49,13538.0,United Kingdom
500267,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12.0,2010-03-05 14:39:00,2.95,15978.0,United Kingdom
512955,85216,ASSORTED CAKES FRIDGE MAGNETS,240.0,2010-06-21 10:30:00,0.53,12469.0,Thailand
501530,21872,GLAMOROUS  MUG,12.0,2010-03-17 12:47:00,1.25,13089.0,United Kingdom
491186,85079,EMBROIDERED REINDEER DECORATION,1.0,2009-12-10 12:21:00,0.85,15889.0,United Kingdom
516954,22429,ENAMEL MEASURING JUG CREAM,2.0,2010-07-25 15:40:00,4.25,13137.0,United Kingdom
513454,22625,RED KITCHEN SCALES,2.0,2010-06-24 15:20:00,8.5,15125.0,United Kingdom
519011,22197,SMALL POPCORN HOLDER,24.0,2010-08-13 08:53:00,0.85,16592.0,United Kingdom
505996,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,12.0,2010-04-27 10:48:00,1.25,17348.0,United Kingdom
511846,22487,WHITE WOOD GARDEN PLANT LADDER,2.0,2010-06-10 18:46:00,9.95,16168.0,United Kingdom
506448,21500,PINK SPOTS  WRAP ,25.0,2010-04-29 17:57:00,0.42,17463.0,United Kingdom
514850,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8.0,2010-07-06 16:14:00,2.55,17145.0,United Kingdom
C508928,21627,ELEPHANT CARNIVAL POUFFE,-5.0,2010-05-19 11:26:00,12.75,13164.0,United Kingdom
510543,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,2.0,2010-06-01 15:01:00,0.85,15858.0,United Kingdom
C513749,21746,SMALL RED RETROSPOT WINDMILL,-1.0,2010-06-28 12:37:00,1.25,12472.0,Germany
520076,20684,STRAWBERRY DREAM CHILDS UMBRELLA,6.0,2010-08-24 09:44:00,3.25,12472.0,Germany
502419,22383,LUNCH BAG SUKI  DESIGN ,2.0,2010-03-24 12:15:00,1.65,16300.0,United Kingdom
506252,21746,SMALL RED RETROSPOT WINDMILL,6.0,2010-04-28 13:42:00,1.25,14399.0,United Kingdom
491508,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,18.0,2009-12-11 12:24:00,1.25,16191.0,United Kingdom
520179,20754,RETRO RED SPOTTY WASHING UP GLOVES,4.0,2010-08-24 13:46:00,2.1,16550.0,United Kingdom
502118,84795D,SEASIDE STRIPE HAMMOCK,12.0,2010-03-23 11:13:00,6.95,15614.0,United Kingdom
506716,71459,HANGING JAM JAR T-LIGHT HOLDER,12.0,2010-05-02 16:02:00,0.85,17555.0,United Kingdom
491636,21061,PARTY INVITES FOOTBALL,48.0,2009-12-11 15:52:00,0.38,17754.0,United Kingdom
513661,22251,BIRDHOUSE DECORATION MAGIC GARDEN,12.0,2010-06-28 10:34:00,1.25,14947.0,United Kingdom
507481,21174,POTTERING IN THE SHED METAL SIGN,12.0,2010-05-10 11:40:00,1.95,13013.0,United Kingdom
517299,21770,OPEN CLOSED METAL SIGN,12.0,2010-07-28 10:45:00,4.95,16584.0,United Kingdom
494385,22136,LOVE HEART SOCK HANGER,12.0,2010-01-14 09:33:00,1.65,18268.0,United Kingdom
511269,21389,IVORY HANGING DECORATION  BIRD,15.0,2010-06-07 13:02:00,0.85,16984.0,United Kingdom
490675,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48.0,2009-12-07 13:07:00,0.21,14695.0,United Kingdom
502810,20727,LUNCH BAG  BLACK SKULL.,2.0,2010-03-26 17:24:00,1.65,15339.0,United Kingdom
509437,21429,RED GINGHAM ROSE JEWELLERY BOX,16.0,2010-05-23 15:21:00,1.65,12409.0,Switzerland
520172,22083,PAPER CHAIN KIT RETRO SPOT,12.0,2010-08-24 13:18:00,2.95,14399.0,United Kingdom
502599,21933,PINK VINTAGE PAISLEY PICNIC BAG,1.0,2010-03-25 13:16:00,2.95,17301.0,United Kingdom
505685,21665,TRIANGULAR RIDGED GLASS POSY HOLDER,4.0,2010-04-23 16:25:00,0.65,16538.0,United Kingdom
500788,21165,BEWARE OF THE CAT METAL SIGN ,12.0,2010-03-10 10:53:00,1.69,17044.0,United Kingdom
520176,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10.0,2010-08-24 13:28:00,1.95,15615.0,United Kingdom
492435,84247K,"FOLK ART GREETING CARD,pack/12",1.0,2009-12-17 10:20:00,2.95,15863.0,United Kingdom
516872,20718,RED SPOTTY SHOPPER BAG,20.0,2010-07-23 12:59:00,1.25,13874.0,United Kingdom
513020,21421,PORCELAIN ROSE LARGE ,12.0,2010-06-21 11:57:00,1.25,13707.0,United Kingdom
501849,22131,FOOD CONTAINER SET 3 LOVE HEART ,3.0,2010-03-21 10:49:00,1.95,14451.0,United Kingdom
515954,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48.0,2010-07-15 19:21:00,0.21,15908.0,United Kingdom
505450,48138,DOOR MAT UNION FLAG,10.0,2010-04-22 11:21:00,6.35,13935.0,United Kingdom
498585,85114C,RED ENCHANTED FOREST PLACEMAT,6.0,2010-02-21 15:09:00,1.65,16200.0,United Kingdom
510157,82580,BATHROOM METAL SIGN,12.0,2010-05-27 13:34:00,0.55,13715.0,United Kingdom
497791,82486,WOOD S/3 CABINET ANT WHITE FINISH,2.0,2010-02-12 12:21:00,7.95,16713.0,United Kingdom
C504570,22423,REGENCY CAKESTAND 3 TIER,-2.0,2010-04-14 14:23:00,10.95,17511.0,United Kingdom
516954,85121C,RETRO LAUNDRY TUB PISTACHIO,1.0,2010-07-25 15:40:00,8.5,13137.0,United Kingdom
512106,47566,PARTY BUNTING,50.0,2010-06-13 13:58:00,3.75,17923.0,United Kingdom
499876,84623,PINK GINGHAM ROSE FLOOR CUSHION,16.0,2010-03-03 09:10:00,2.95,17850.0,United Kingdom
513112,20971,PINK BLUE FELT CRAFT TRINKET BOX,2.0,2010-06-21 16:28:00,1.25,17338.0,United Kingdom
519723,21506,"FANCY FONT BIRTHDAY CARD, ",12.0,2010-08-19 17:04:00,0.42,13842.0,United Kingdom
513789,21988,PACK OF 6 SKULL PAPER PLATES,12.0,2010-06-28 15:22:00,0.85,12485.0,Sweden
494794,21411,GINGHAM HEART  DOORSTOP RED,3.0,2010-01-18 14:11:00,4.25,13037.0,United Kingdom
511051,84497,BUTTONS AND STRIPES NOTEBOOK ,2.0,2010-06-06 12:13:00,3.75,12911.0,United Kingdom
494468,79323W, WHITE CHERRY LIGHTS,8.0,2010-01-14 14:32:00,6.75,13050.0,United Kingdom
508529,22514,CHILDS GARDEN SPADE BLUE,156.0,2010-05-17 11:12:00,1.59,18102.0,United Kingdom
497879,21929,JUMBO BAG PINK VINTAGE PAISLEY,10.0,2010-02-14 11:15:00,1.95,12422.0,Australia
508733,22623,BOX OF VINTAGE JIGSAW BLOCKS ,6.0,2010-05-18 10:34:00,4.95,15622.0,United Kingdom
492593,22263,FELT EGG COSY LADYBIRD ,1.0,2009-12-17 15:44:00,0.85,15917.0,United Kingdom
498060,22033,BOTANICAL ROSE GREETING CARD,12.0,2010-02-16 12:13:00,0.42,17287.0,United Kingdom
511783,22525,CHILDRENS GARDEN GLOVES PINK,3.0,2010-06-10 13:17:00,1.25,16713.0,United Kingdom
506456,22439,6 ROCKET BALLOONS ,10.0,2010-04-29 19:08:00,0.65,15015.0,United Kingdom
494638,22085,PAPER CHAIN KIT SKULLS ,1.0,2010-01-17 11:03:00,2.95,16782.0,United Kingdom
518394,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1.0,2010-08-08 12:35:00,2.55,14606.0,United Kingdom
507735,84522,PINK PARTY SUNGLASSES,5.0,2010-05-11 12:10:00,1.95,17321.0,United Kingdom
517977,16237,SLEEPING CAT ERASERS,6.0,2010-08-03 14:23:00,0.21,16938.0,United Kingdom
511299,15058A,BLUE WHITE SPOTS GARDEN PARASOL,1.0,2010-06-07 15:29:00,7.95,18037.0,United Kingdom
498127,22079,RIBBON REEL HEARTS DESIGN ,10.0,2010-02-16 15:56:00,1.65,13842.0,United Kingdom
496926,84992,72 SWEETHEART FAIRY CAKE CASES,4.0,2010-02-04 16:16:00,0.55,17965.0,United Kingdom
509980,85068,CREAM SWEETHEART SHELF + HOOKS,2.0,2010-05-26 14:07:00,7.95,12378.0,Switzerland
489442,21888,BINGO SET,8.0,2009-12-01 09:46:00,3.75,13635.0,United Kingdom
503547,21452,TOADSTOOL MONEY BOX,1.0,2010-04-01 14:52:00,2.95,14049.0,United Kingdom
511051,22088,PAPER BUNTING COLOURED LACE,2.0,2010-06-06 12:13:00,2.95,12911.0,United Kingdom
514468,20725,LUNCH BAG RED SPOTTY,2.0,2010-07-02 12:59:00,1.65,16401.0,United Kingdom
514022,21933,PINK VINTAGE PAISLEY PICNIC BAG,4.0,2010-06-30 11:06:00,2.95,15039.0,United Kingdom
500998,21467,CHERRY CROCHET FOOD COVER,6.0,2010-03-11 13:43:00,3.75,12957.0,United Kingdom
504120,84212,"ASSORTED FLOWER COLOUR ""LEIS""",6.0,2010-04-09 17:13:00,0.65,15889.0,United Kingdom
510331,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6.0,2010-05-28 13:57:00,2.95,13081.0,United Kingdom
516116,21908,CHOCOLATE THIS WAY METAL SIGN,1.0,2010-07-16 14:23:00,2.1,15452.0,United Kingdom
494778,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,4.0,2010-01-18 12:48:00,1.25,14461.0,United Kingdom
510150,22036,DINOSAUR BIRTHDAY CARD,12.0,2010-05-27 13:10:00,0.42,13093.0,United Kingdom
492405,21551,CERAMIC BIRDHOUSE BUTTERFLY LARGE,1.0,2009-12-16 15:48:00,5.95,15055.0,United Kingdom
512177,21661,VINTAGE GLASS TEA CADDY,3.0,2010-06-14 12:01:00,5.95,15150.0,United Kingdom
C505458,POST,POSTAGE,-1.0,2010-04-22 11:36:00,2.75,14893.0,United Kingdom
502597,21936,RED/WHITE SPOT PICNIC BAG,5.0,2010-03-25 13:15:00,2.95,13969.0,United Kingdom
500093,21114,LAVENDER SCENTED FABRIC HEART,5.0,2010-03-04 12:13:00,1.25,15910.0,United Kingdom
494002,84745A,PINK HANGING GINGHAM EASTER HEN,6.0,2010-01-10 14:26:00,0.42,13634.0,United Kingdom
505509,21500,PINK SPOTS  WRAP ,25.0,2010-04-22 14:31:00,0.42,14156.0,EIRE
507128,85136C,RED SHARK HELICOPTER,1.0,2010-05-06 12:04:00,7.95,14527.0,United Kingdom
518248,21259,VICTORIAN SEWING BOX SMALL ,4.0,2010-08-05 17:23:00,5.95,17576.0,United Kingdom
494905,21578,WOODLAND DESIGN  COTTON TOTE BAG,6.0,2010-01-19 15:39:00,2.25,17245.0,United Kingdom
495504,21535,RETRO SPOT SMALL MILK JUG,1.0,2010-01-25 13:14:00,2.55,16795.0,United Kingdom
517224,22624,IVORY KITCHEN SCALES,2.0,2010-07-27 12:44:00,8.5,13161.0,United Kingdom
515884,21272,SALLE DE BAIN HOOK,2.0,2010-07-15 12:00:00,1.25,16435.0,United Kingdom
494866,22262,FELT EGG COSY CHICKEN,1.0,2010-01-19 11:20:00,0.85,16253.0,United Kingdom
518269,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12.0,2010-08-05 19:22:00,1.69,16395.0,United Kingdom
506244,84946,ANTIQUE SILVER TEA GLASS ETCHED,12.0,2010-04-28 13:18:00,1.25,14194.0,United Kingdom
510148,22377,BOTTLE BAG RETROSPOT ,5.0,2010-05-27 12:50:00,2.1,16101.0,United Kingdom
518512,22219,LOVEBIRD HANGING DECORATION WHITE ,5.0,2010-08-09 15:03:00,0.85,17790.0,United Kingdom
490145,20685,RED SPOTTY COIR DOORMAT,6.0,2009-12-04 09:27:00,6.75,14564.0,Channel Islands
513498,22381,TOY TIDY PINK RETROSPOT  ,5.0,2010-06-25 10:22:00,2.1,14911.0,EIRE
510775,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,8.0,2010-06-03 14:44:00,3.75,14156.0,EIRE
512776,71038,WHITE HANGING BEADS CANDLE HOLDER,4.0,2010-06-17 17:41:00,5.45,15023.0,United Kingdom
503981,84078A,SET/4 WHITE RETRO STORAGE CUBES ,2.0,2010-04-09 09:14:00,39.95,13197.0,United Kingdom
507120,21059,PARTY INVITES DINOSAURS,12.0,2010-05-06 11:44:00,0.85,12972.0,United Kingdom
C510156,20685,DOOR MAT RED SPOT,-2.0,2010-05-27 13:34:00,7.49,18181.0,United Kingdom
492640,84029E,RED WOOLLY HOTTIE WHITE HEART.,6.0,2009-12-17 16:38:00,3.75,13077.0,United Kingdom
496245,21911,GARDEN METAL SIGN ,12.0,2010-01-29 15:25:00,1.65,16390.0,United Kingdom
497358,47591A,CAROUSEL DES CHILD'S APRON,1.0,2010-02-08 17:25:00,1.65,14606.0,United Kingdom
507020,21593,SWALLOW CIGAR BOX MATCHES ,1.0,2010-05-05 14:34:00,1.25,17345.0,United Kingdom
505709,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1.0,2010-04-25 12:34:00,1.25,13050.0,United Kingdom
495945,21212,PACK OF 72 RETRO SPOT CAKE CASES,24.0,2010-01-27 16:23:00,0.55,13758.0,United Kingdom
505513,20725,LUNCH BAG RED SPOTTY,1.0,2010-04-22 14:57:00,1.65,14556.0,United Kingdom
519690,22634,CHILDS BREAKFAST SET SPACEBOY ,2.0,2010-08-19 13:06:00,9.95,14112.0,United Kingdom
497371,22236,CAKE STAND 3 TIER MAGIC GARDEN,3.0,2010-02-09 10:24:00,12.75,12471.0,Germany
504626,21531,RED RETROSPOT SUGAR JAM BOWL,6.0,2010-04-15 12:20:00,2.55,15874.0,United Kingdom
500158,20783,HEART EAR MUFF HEADPHONES,2.0,2010-03-04 18:25:00,5.49,12371.0,Switzerland
519612,22406,MONEY BOX KINGS CHOICE DESIGN,1.0,2010-08-18 17:41:00,1.25,15154.0,United Kingdom
513972,21115,ROSE CARAVAN DOORSTOP,1.0,2010-06-29 16:13:00,6.75,15532.0,United Kingdom
507133,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2.0,2010-05-06 12:29:00,1.25,14461.0,United Kingdom
512943,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1.0,2010-06-20 14:38:00,7.95,17623.0,United Kingdom
512694,20676,RED SPOTTY BOWL,2.0,2010-06-17 11:52:00,1.25,14710.0,United Kingdom
518681,22273,FELTCRAFT DOLL MOLLY,2.0,2010-08-10 17:09:00,2.95,17799.0,United Kingdom
511295,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,3.0,2010-06-07 15:05:00,1.05,15551.0,United Kingdom
489533,22073,RETRO SPOT STORAGE JAR,1.0,2009-12-01 12:02:00,3.75,16011.0,United Kingdom
495359,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,20.0,2010-01-24 11:58:00,2.1,16422.0,United Kingdom
496329,21084,SET/6 COLLAGE PAPER CUPS,12.0,2010-01-31 13:34:00,0.65,13392.0,United Kingdom
519916,22224,WHITE LOVEBIRD LANTERN,6.0,2010-08-22 14:01:00,2.95,14221.0,United Kingdom
520176,22457,NATURAL SLATE HEART CHALKBOARD ,12.0,2010-08-24 13:28:00,2.95,15615.0,United Kingdom
499472,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8.0,2010-02-28 12:16:00,0.65,14507.0,United Kingdom
490100,21893,POTTING SHED SEED TIN,3.0,2009-12-03 16:21:00,4.25,13001.0,United Kingdom
496201,90175A,WHITE GLASS CHUNKY CHARM BRACELET,1.0,2010-01-29 12:35:00,2.5,15898.0,United Kingdom
C500709,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1.0,2010-03-09 13:58:00,5.95,15722.0,United Kingdom
519827,22561,WOODEN SCHOOL COLOURING SET,1.0,2010-08-20 14:50:00,1.65,15702.0,Nigeria
496588,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32.0,2010-02-02 14:31:00,2.55,17675.0,United Kingdom
489536,21356,TOAST ITS - FAIRY FLOWER,1.0,2009-12-01 12:13:00,1.25,16393.0,United Kingdom
515253,21212,PACK OF 72 RETRO SPOT CAKE CASES,24.0,2010-07-09 11:43:00,0.55,18260.0,United Kingdom
C501174,21936,RED/WHITE SPOT PICNIC BAG,-12.0,2010-03-15 10:55:00,2.95,12755.0,Japan
490347,21054,NURSE'S BAG SOFT TOY,1.0,2009-12-04 16:13:00,8.95,15684.0,United Kingdom
494213,15039,SANDALWOOD FAN,3.0,2010-01-12 11:40:00,0.85,17945.0,United Kingdom
511691,82486,WOOD S/3 CABINET ANT WHITE FINISH,12.0,2010-06-09 16:42:00,6.95,16525.0,United Kingdom
499123,84509B,SET OF 4 FAIRY CAKE PLACEMATS,2.0,2010-02-24 16:15:00,3.75,14556.0,United Kingdom
505838,22333,RETRO SPORT PARTY BAG + STICKER SET,2.0,2010-04-26 11:25:00,1.65,17673.0,United Kingdom
508462,22515,CHILDS GARDEN SPADE PINK,2.0,2010-05-16 10:23:00,2.1,13259.0,United Kingdom
519434,22114,HOT WATER BOTTLE TEA AND SYMPATHY,24.0,2010-08-17 10:36:00,3.45,18092.0,United Kingdom
511990,84993B,75 BLACK PETIT FOUR CASES,1.0,2010-06-11 15:03:00,0.42,13601.0,United Kingdom
513201,21888,BINGO SET,4.0,2010-06-22 16:54:00,3.75,14793.0,United Kingdom
506139,71403,"PINK/WHITE ""KEEP CLEAN"" BULLET BIN",6.0,2010-04-27 15:47:00,2.95,18268.0,United Kingdom
